Artist,SName
Pink,Do What U Do
Pink,Don't Give Up (com John Legend)
Pink,Equal Rights
Pink,Eventually
Pink,Family Portrait
Pink,Feel Good Time
Pink,Fingers
Pink,For Now
Pink,Free
Pink,Funhouse
Pink,Get The Party Started
Pink,Get The Party Started (Sweet Dreams Mix feat. Redman)
Pink,Girl On Fire
Pink,Glitter In The Air
Pink,God Is A DJ
Pink,Gone To California
Pink,Good Old Days
Pink,Halfway Gone
Pink,Hands
Pink,Happy
Pink,Heartbreak Down
Pink,Heartbreaker
Pink,Hell Wit Ya
Pink,Here Comes The Weekend (feat. Eminem)
Pink,Hiccup
Pink,Hooker
Pink,Hooker (hidden track)
Pink,How Come You're Not Here
Pink,Humble Neighborhoods
Pink,Hurts 2B Human (Feat. Khalid)
Pink,Hustle
Pink,I Am Not My Hair (feat. India Aire)
Pink,I Can't Help It
Pink,I Don't Believe You
Pink,I Got Money Now
Pink,I Have Seen The Rain
Pink,I Touch Myself
Pink,I'm Not Dead
Pink,Is It Love
Pink,Is This Thing On?
Pink,It's All Your Fault
Pink,It's Like Romeo And Juliet
Pink,It's Over (feat. Preston Creed)
Pink,Janie's Got A Gun
Pink,Just a Girl (Live with No Doubt)
Pink,Just Like Fire (Premacy Deephouse Remix)
Pink,Key To My Heart
Pink,"Lady Marmalade (feat. Christina Aguilera, Lil' Kim, Mýa)"
Pink,Last To Know
Pink,Leave Me Alone (I'm Lonely)
Pink,Leaving For The Last Time
Pink,Let Me Let You Know
Pink,Let's Get The Party Started
Pink,Living In My World
Pink,Lonely Girl (feat. Linda Perry)
Pink,Long Way To Happy
Pink,Love Is Such A Crazy Thing
Pink,Love Me Anyway (Feat. Chris Stapleton)
Pink,Love Song
Pink,Me And Bobby Mcgee (cover da Janis Joplin)
Pink,Mean
Pink,Misery (feat. Steven Tyler)
Pink,Missundaztood
Pink,More
Pink,Most Girls
Pink,My Attic
Pink,My Signature Move
Pink,My Vietnam
Pink,Need Me (Feat. Eminem)
Pink,Nobody Knows
Pink,Nobody Liver
Pink,Numb
Pink,Oh My God (feat. Peaches)
Pink,One Foot Wrong
Pink,Private Show
Pink,Push You Away
Pink,Respect (feat. Scratch)
Pink,Revenge (Feat. Eminem)
Pink,Rhythm Nation
Pink,River
Pink,Rock And Roll Heaven's Gate (f. Indigo Girls)
Pink,Run
Pink,Runaway
Pink,Save My Life
Pink,Secrets
Pink,Shine
Pink,Slut Like You
Pink,Somewhere Over The Rainbow
Pink,Split Personality
Pink,Stop Falling
Pink,Summertime
Pink,Tell Me Something Good
Pink,The Great Escape
Pink,"The King Is Dead, But The Queen Is Alive"
Pink,The Last Song of Your Life
Pink,The One That Got Away
Pink,There U go
Pink,This Is How It Goes Down
Pink,Timebomb
Pink,Today's The Day
Pink,Tonight's The Night
Pink,Try Too Hard
Pink,Try/ Just Give Me a Reason (Feat. Nate Ruess)
Pink,Under Pressure
Pink,Unwind
Pink,VMA 2017 Medley
Pink,Waiting For Love
Pink,Walk Away
Pink,Walk Of Shame
Pink,Waterfall (Feat. Sia)
Pink,We Are The Champions (Queen cover)
Pink,We Could Have It All
Pink,We Got Scurvy
Pink,"We Will Rock You (feat. Britney Spears, Beyoncé)"
Pink,Whataya Want From Me
Pink,Whatever You Want
Pink,When I Saw You Girl
Pink,When We're Through
Pink,Where Did The Beat Go?
Pink,Where We Go
Pink,White Rabbit
Pink,Why Did I Ever Like You
Pink,Widelife
Pink,Wild Hearts Can't Be Broken
Pink,Words
Pink,You Get My Love
Pink,You Make Me Sick
Maroon 5,Girls Like You (Feat. Cardi B)
Maroon 5,Sugar
Maroon 5,Memories
Maroon 5,Maps
Maroon 5,She Will Be Loved
Maroon 5,This Love
Maroon 5,Payphone (Feat. Wiz Khalifa)
Maroon 5,Sunday Morning
Maroon 5,Animals
Maroon 5,Beautiful Mistakes (with Megan Thee Stallion)
Maroon 5,Cold (Feat. Future)
Maroon 5,Moves Like Jagger (feat. Christina Aguilera)
Maroon 5,One More Night
Maroon 5,Girls Like You
Maroon 5,What Lovers Do (feat. SZA)
Maroon 5,Don't Wanna Know (Feat. Kendrick Lamar)
Maroon 5,Stereo Hearts
Maroon 5,Lost
Maroon 5,Daylight
Maroon 5,Nobody's Love
Maroon 5,Misery
Maroon 5,Lost Stars
Maroon 5,Payphone (Non-Rap Version)
Maroon 5,Feelings
Maroon 5,"Memories (remix, feat. Nipsey Hussle and YG)"
Maroon 5,A Higher Place
Maroon 5,All My Loving
Maroon 5,Angel In Blue Jeans
Maroon 5,Animals (Gryffin Remix)
Maroon 5,Animals (Remix) (Feat. Big Boi)
Maroon 5,Animals (Remix) (Feat. J. Cole)
Maroon 5,As Things Collide
Maroon 5,Back At Your Door
Maroon 5,Be My Baby
Maroon 5,Beautiful Goodbye
Maroon 5,Best 4 U
Maroon 5,Bet My Heart
Maroon 5,Better That We Break
Maroon 5,Can't Leave You Alone (feat. Juice Wrld)
Maroon 5,Can't Stop
Maroon 5,Closer
Maroon 5,Closure
Maroon 5,Cold (Salazar Pakyo & Plumo Remix)
Maroon 5,Come Away To The Water (feat. Rozzi Crane)
Maroon 5,Coming Back for You
Maroon 5,Control Myself
Maroon 5,Convince Me Otherwise (With H.E.R.)
Maroon 5,Crazy Little Thing Called Love
Maroon 5,Denim Jacket
Maroon 5,Doin' Dirt
Maroon 5,Don't Know Nothing
Maroon 5,Don't Look Back In Anger (Oasis Cover)
Maroon 5,Don't Wanna Know (Ft. Kendrick Lamar) (Chris Tran Remix)
Maroon 5,Don't Wanna Know (TEEZ Remix)
Maroon 5,Don't Want To Know
Maroon 5,Echo (feat. blackbear)
Maroon 5,Figure It Out
Maroon 5,Fortune Teller
Maroon 5,Get Back In My Life
Maroon 5,Girls Like You (Ft. Cardi B) (St. Vincent Remix)
Maroon 5,Give a Little More
Maroon 5,Give A Little More (Roger Sanchez Remix)
Maroon 5,Go Now
Maroon 5,Good Mood
Maroon 5,"Goodnight, Goodnight"
Maroon 5,Gotten
Maroon 5,Hands All Over
Maroon 5,Happy (Live Lounge)
Maroon 5,Happy Xmas (war Is Over)
Maroon 5,Harder To Breathe
Maroon 5,Hello
Maroon 5,Help Me Out (feat. Julia Michaels)
Maroon 5,Highway To Hell (live From Hamburg - Germany)
Maroon 5,How
Maroon 5,I Can't Lie
Maroon 5,I Shall Be Released
Maroon 5,If I Ain't Got You
Maroon 5,If I Fell
Maroon 5,If I Never See Your Face Again (feat. Rihanna)
Maroon 5,If You Only Knew
Maroon 5,In Your Pocket
Maroon 5,Infatuation
Maroon 5,Is Anybody Out There
Maroon 5,It Was Always You
Maroon 5,Just a Feeling
Maroon 5,Kiss
Maroon 5,Kiwi
Maroon 5,Ladykiller
Maroon 5,Last Chance
Maroon 5,Leaving California
Maroon 5,Let's Stay Together
Maroon 5,Lifestyle
Maroon 5,Lips On You
Maroon 5,Little Of Your Time
Maroon 5,Losing My Mind
Maroon 5,Love Somebody
Maroon 5,Love Somebody (Panic City Remix)
Maroon 5,Lovely Day
Maroon 5,Lovesick
Maroon 5,Loving The Small Time
Maroon 5,Lucky Strike
Maroon 5,Makes Me Wonder
Maroon 5,Maps (Remix) (Feat. Big Sean)
Maroon 5,Memories (Dillon Francis Remix)
Maroon 5,"Miss You, Love You"
Maroon 5,Moves Like Jagger (Remix) (Feat. Mac Miller & Christina Aguilera)
Maroon 5,Must Get Out
Maroon 5,My Heart Is Open (Feat. Gwen Stefani)
Maroon 5,Never Gonna Leave This Bed
Maroon 5,New Love
Maroon 5,No Curtain Call
Maroon 5,No One Else Like You
Maroon 5,Nobody's Love (Popcaan Remix)
Maroon 5,Not Coming Home
Maroon 5,Not Falling Apart
Maroon 5,Nothing Lasts Forever
Maroon 5,One Light (feat. Bantu)
Maroon 5,Out Of Goodbyes (feat. Lady Antebellum)
Maroon 5,Payphone (feat. Wiz Khalifa) (The Sound Of Arrows Remix)
Maroon 5,Payphone (Reidiculous Remix)
Maroon 5,Plastic Rose
Maroon 5,Pleasure Fucker
Maroon 5,Pure Imagination
Maroon 5,Purple Rain
Maroon 5,Rag Doll
Maroon 5,Remedy (feat. Stevie Nicks)
Maroon 5,Runaway
Maroon 5,Sad
Maroon 5,Seasons
Maroon 5,Secret
Maroon 5,Secret (tablatura)
Maroon 5,Sex and Candy
Maroon 5,She Will Be Loved (Rhythms Del Mundo Remix)
Maroon 5,Shiver
Maroon 5,Shoot Love
Maroon 5,Simple Kind Of Lovely
Maroon 5,Story
Maroon 5,Stutter
Maroon 5,Sugar (Remix) (Feat. Nicki Minaj)
Maroon 5,Sweetest Goodbye
Maroon 5,Take What You Want
Maroon 5,Tangled
Maroon 5,The Air That I Breathe
Maroon 5,The Man Who Never Lied
Maroon 5,The Sun
Maroon 5,The Way I Was
Maroon 5,The Way You Look Tonight
Maroon 5,This Summer's Gonna Hurt (Alesso Remix)
Maroon 5,This Summer's Gonna Hurt Like A Motherfucker
Maroon 5,Three Little Birds
Maroon 5,Through With You
Maroon 5,Ticket To Ride
Maroon 5,Tickets
Maroon 5,Unkiss Me
Maroon 5,Until You're Over Me
Maroon 5,Visions
Maroon 5,Wait
Maroon 5,Wait (Chromeo Remix)
Maroon 5,Wake Up Call
Maroon 5,Wake Up Call (Mark Ronson Remix) (Feat. Mary J. Blidge)
Maroon 5,Wasted Years
Maroon 5,Whiskey (Feat. A$AP Rocky)
Maroon 5,Who I Am (feat. Lunchmoney Lewis)
Maroon 5,Wipe Your Eyes
Maroon 5,Woman
Maroon 5,Won't Go Home Without You
Elton John,Cold Heart (With Dua Lipa) (PNAU Remix)
Elton John,Your Song
Elton John,Rocket Man
Elton John,Don't Let The Sun Go Down On Me
Elton John,Skyline Pigeon
Elton John,Sacrifice
Elton John,Can You Feel The Love Tonight?
Elton John,Nikita
Elton John,Goodbye Yellow Brick Road
Elton John,Candle In The Wind
Elton John,I Guess That's Why They Call It The Blues
Elton John,The One
Elton John,Daniel
Elton John,I'm Still Standing
Elton John,Empty Garden (hey Hey Johnny)
Elton John,Don't Go Breaking My Heart (Feat. Kiki Dee)
Elton John,Finish Line (With Stevie Wonder)
Elton John,Sad Songs (Say So Much)
Elton John,Candle In The Wind (1997)
Elton John,Always Love You (With Young Thug and Nicki Minaj)
Elton John,Tiny Dancer
Elton John,Circle Of Life
Elton John,Kiss The Bride
Elton John,Bennie And The Jets
Elton John,Hakuna Matata
Elton John,(Gotta Get A) Meal Ticket
Elton John,(I'm Gonna) Love Me Again (With Taron Egerton)
Elton John,16th Century Man
Elton John,20th Century Blues
Elton John,A Dandelion Dies In The Wind (Nunca lançada)
Elton John,A Dream Come True
Elton John,A Good Heart
Elton John,A Little Love Goes a Long Way
Elton John,A Simple Man
Elton John,A Step Too Far
Elton John,A Town Called Jubilee
Elton John,A Woman's Needs
Elton John,A Word In Spanish
Elton John,Abide With Me
Elton John,Across The River Thames
Elton John,Act Of War
Elton John,After All (With Charlie Puth)
Elton John,Ain't Nothing Like The Real Thing
Elton John,All Across The Havens
Elton John,All Quiet On The Western Front
Elton John,All That I'm Allowed
Elton John,All The Girls Love Alice
Elton John,All The Nasties
Elton John,All The Way Down To El Paso
Elton John,Amazes Me
Elton John,Amen
Elton John,American Triangle
Elton John,Amneris' Letter
Elton John,Amoreena
Elton John,Amy
Elton John,And The Clock Goes Round (NUnca Lançada)
Elton John,And The House Fell Down
Elton John,Angel Tree
Elton John,Angeline
Elton John,Another Pyramid
Elton John,Answer In The Sky
Elton John,Are You Ready For Love?
Elton John,Baby I Miss You
Elton John,Bad Side Of The Moon
Elton John,Ball And Chain
Elton John,Ballad Of A Well-Known Gun
Elton John,Ballad Of The Boy In The Red Shoes
Elton John,Basque
Elton John,Be Prepared
Elton John,Beauty in the Bones (With Jimmie Allen)
Elton John,Belfast
Elton John,Believe
Elton John,Better Off Dead
Elton John,Between Seventeen And Twenty
Elton John,Big Dipper
Elton John,Big Man In A Little Suit
Elton John,Billy And The Kids
Elton John,Billy Bones And The White Bird
Elton John,Billy's Bag
Elton John,Birds
Elton John,Bite Your Lip (Get Up And Dance)
Elton John,Bitter Fingers
Elton John,Black Icy Stare (With Pnau)
Elton John,Blessed
Elton John,Blue Avenue
Elton John,Blue Eyes
Elton John,Blue Wonderful
Elton John,Blues For Baby And Me
Elton John,Blues Never Fade Away
Elton John,Boogie Pilgrim
Elton John,Border Song
Elton John,Born Bad
Elton John,Born To Lose
Elton John,Breaking Down Barriers
Elton John,Breaking Hearts (Ain't What It Used To Be)
Elton John,Burn Down The Mission
Elton John,Burning Buildings
Elton John,But Not For Me
Elton John,Cage The Songbird
Elton John,Calling It Christmas
Elton John,Can I Put You On
Elton John,Can't Get Over Getting Over Losing You
Elton John,Can't Stay Alone Tonight
Elton John,Candy By The Pound
Elton John,Captain Fantastic And The Brown Dirt Cowboy
Elton John,Carla/Etude
Elton John,Cartier
Elton John,Chameleon
Elton John,Chapel Of Love
Elton John,Chasing The Crown
Elton John,Chloe
Elton John,Choc Ice Goes Mental
Elton John,Chosen Family (With Rina Sawayama)
Elton John,Claw Hammer
Elton John,Club At The End Of The Street
Elton John,Cold
Elton John,Cold As Christmas (In The Middle Of The Year)
Elton John,Cold Heart (With Dua Lipa) (Acoustic)
Elton John,Cold Highway
Elton John,Come And Get It
Elton John,Come Back Baby
Elton John,Come Down In Time
Elton John,Conquer The Sun
Elton John,Cottonfields
Elton John,Country Comfort
Elton John,Country Love Song
Elton John,Crazy Water
Elton John,Crocodile Rock
Elton John,Cry To Heaven
Elton John,Crystal
Elton John,Curtains
Elton John,Dan Dare (Pilot Of The Future)
Elton John,Dancing In The End Zone
Elton John,Dark Diamond
Elton John,Dear God
Elton John,Dear John
Elton John,Dick Barton Theme
Elton John,Did He Shoot Her?
Elton John,Dirty Little Girl
Elton John,Dixie Lily
Elton John,Don't Stop
Elton John,Don't Trust That Woman
Elton John,Donner Pour Donner
Elton John,Dreamboat
Elton John,Ducktail Jiver
Elton John,Duets For One
Elton John,Durban Deep
Elton John,E-Ticket (With Eddie Vedder)
Elton John,Earn While You Learn
Elton John,Easier To Walk Away
Elton John,Easy As Life
Elton John,Ego
Elton John,Eight Hundred Dollar Shoes
Elton John,El Dorado
Elton John,Elaborate Lives
Elton John,Elderberry Wine
Elton John,Electricity
Elton John,Elton's Song
Elton John,Emily
Elton John,Empty Sky
Elton John,Enchantment Passing Through
Elton John,England and America
Elton John,Every Story Is a love Story
Elton John,Every Story Is A Love Story (aida)
Elton John,Fanfare
Elton John,Fanfare/chloe
Elton John,Fascist Faces
Elton John,Fat Boys And Ugly Girls
Elton John,Feed Me
Elton John,First Episode At Hienton
Elton John,Flames Of Paradise
Elton John,Flintstone Boy
Elton John,Fools In Fashion
Elton John,Foreign Fields (With Pnau)
Elton John,Fortune Favours The Brave
Elton John,Freaks In Love
Elton John,Free and Easy
Elton John,Friends
Elton John,Friends Never Say Goodbye
Elton John,From Denver To L.A.
Elton John,Funeral For A Friend (Love Lies Bleeding)
Elton John,Georgia
Elton John,Get Back
Elton John,Get Out (Of This Town)
Elton John,Give Me The Love
Elton John,Give Peace A Chance
Elton John,Go It Alone
Elton John,Go On And On
Elton John,Go Out And Get It
Elton John,God Knows (A Bit Of Freedom)
